timestamp,face_detected,avg_norm_x,avg_norm_y,screen_x,screen_y,current_text,text_length
1778096401.709475,1,0.3583333293813131,-0.24999995000001002,917,-359,None,0
1778096401.897863,1,0.43964213069684743,-0.22222216975309683,1125,-319,None,0
1778096401.938333,1,0.4353578565763382,-0.30729160568577524,1114,-442,None,0
1778096401.979616,1,0.4582713224329221,-0.6874997968750546,1173,-989,None,0
1778096402.021573,1,0.4434223725752976,-0.44374989015627453,1135,-638,None,0
1778096402.063322,1,0.48214284948979613,-0.5833331631944909,1234,-839,None,0
1778096402.111634,1,0.4573732648690071,-0.362499904062522,1170,-521,None,0
1778096402.158498,1,0.43839285094647606,-0.1249999791666701,1122,-179,None,0
1778096402.228031,1,0.4035023784743663,-0.05729163953993721,1032,-82,None,0
1778096402.266338,1,0.4403769778991089,-0.062499989583335025,1127,-89,None,0
1778096402.306867,1,0.43809523190854116,-0.020833329861111638,1121,-29,Between,7
1778096402.34866,1,0.460887089858004,-0.19285708387756578,1179,-277,None,0
1778096402.389583,1,0.460887089858004,-0.08333331051587806,1179,-119,None,0
1778096402.429955,1,0.4299603114060533,-0.06249998065476636,1100,-89,None,0
1778096402.4716,1,0.42793246668475626,-0.008928559736397945,1095,-12,Between,7
1778096402.512819,1,0.41380207788113077,-0.047619029903632426,1059,-68,None,0
1778096402.553005,1,0.44236110485174174,-0.24285707387756778,1132,-349,None,0
1778096402.593976,1,0.4382936446004977,-0.2357142191836895,1122,-339,None,0
1778096402.635747,1,0.43423411279347746,-0.09821426126701199,1111,-141,None,0
1778096402.6769888,1,0.4362103113018866,-0.04166664409722787,1116,-59,None,0
1778096402.7170072,1,0.4059895780032011,-0.12499996614584052,1039,-179,None,0
1778096402.758385,1,0.4381944382545194,-0.10416664037698975,1121,-149,None,0
1778096402.799894,1,0.43423411279347746,-0.4656248892968993,1111,-670,None,0
1778096402.841255,1,0.46459095788335947,-0.3020832738715389,1189,-434,None,0
1778096402.8799648,1,0.4134376501473964,-0.024999989687502056,1058,-35,None,0
1778096402.9222422,1,0.41646605170338935,-0.24305549961420858,1066,-349,None,0
1778096402.964176,1,0.38909957962937447,-0.14107139609694463,996,-203,None,0
