timestamp,face_detected,avg_norm_x,avg_norm_y,screen_x,screen_y
1778094697.4811678,1,0.1681034507371002,-0.6874997604167483,430,-989
1778094697.735958,1,0.19757688884432678,-0.3124999062500253,505,-449
1778094697.774922,1,0.16539812807112164,-0.5833331018519331,423,-839
1778094697.812999,1,0.17166666815555542,-0.8437494726565268,439,-1214
1778094697.855675,1,0.136390695062657,-0.3333331736111724,349,-479
1778094697.8989599,1,0.14474576499526948,-1.964283505104285,370,-2828
1778094697.9385312,1,0.15350877393044016,-0.3630950592404307,392,-522
1778094697.978643,1,0.1392937876744933,-0.15624993415180602,356,-224
1778094698.019489,1,0.11693723216549778,-0.09821423820154576,299,-141
1778094698.10216,1,0.11880411528113344,-0.1333332918518618,304,-191
1778094698.143533,1,0.0744791705881076,-0.11111108487654842,190,-159
1778094698.1834838,1,0.08175105849400888,-0.18333329694445108,209,-263
1778094698.226476,1,0.13193568963554836,-0.14583330069445072,337,-209
1778094698.266825,1,0.08177083717230871,-0.09107141181122724,209,-131
1778094698.3238342,1,0.12636088957797442,-0.06428569867347225,323,-92
1778094698.388371,1,0.07812500389322907,-0.060064919400407646,200,-86
1778094698.428999,1,0.12119175899434054,-0.06428569867347225,310,-92
1778094698.472129,1,0.11716642736495131,-0.04761903552532354,299,-68
1778094698.509314,1,0.11628024457927522,0.01846591220622329,297,26
1778094698.5522509,1,0.10339506470818516,0.03409091025309853,264,49
1778094698.594891,1,0.10738742772686449,-0.016071419311226492,274,-23
1778094698.632363,1,0.1150724810177175,-0.09583330986111574,294,-137
1778094698.676855,1,0.0972943754157296,-2.9107108699014477,249,-4191
1778094698.717786,1,0.18904482718323612,3.2678537831666383,483,4705
1778094698.756042,1,0.12915090627322923,2.3124971718779572,330,3329
1778094698.7973802,1,0.029520923080223804,-5749998.5000005,75,-8279997840
1778094698.84043,1,0.12830656818418507,-6124999.166666806,328,-8819998800
1778094698.880727,1,0.12006579197405287,-1.916665388889581,307,-2759
1778094698.920206,1,0.08613956818730184,-5.583326777784496,220,-8039
1778094698.9608068,1,0.09900793997301993,-2.8303553322713695,253,-4075
1778094699.005504,1,0.09143423946404772,-1.671874218099247,234,-2407
1778094699.044977,1,0.0787530802275429,-3.265622951172951,201,-4702
1778094699.0859032,1,0.08928083500348327,-1.8611102746916606,228,-2679
1778094699.1267881,1,0.06960702789229378,-0.8749996445313557,178,-1259
1778094699.167706,1,0.09762100439984622,-1.6388881327163245,249,-2359
1778094699.211643,1,0.11137566446809988,-2.7812482460946724,285,-4004
1778094699.2475111,1,0.11057692633218874,-2.6874982991080443,283,-3869
1778094699.288795,1,0.12624861535069853,-7499999.089285844,323,-10799998688
1778094699.330134,1,0.13228357640640587,-2.333331819445259,338,-3359
1778094699.3757608,1,0.02384058580810744,-7124999.125000146,61,-10259998740
1778094699.4173,1,0.036544123290527475,-6.166659909729079,93,-8879
1778094699.454834,1,0.00322629730567936,-2.645831829861893,8,-3809
1778094699.495882,1,-0.06555058620239018,-1.437499413194658,-167,-2069
1778094699.539296,1,-0.07331173882079489,-1.5416660416668873,-187,-2219
1778094699.5794291,1,-0.0007246310619621887,-1.333332833333509,-1,-1919
1778094699.620491,1,-0.003872856876272923,-0.31249994791667535,-9,-449
1778094699.659211,1,-0.03358878038585167,-0.3697916082899399,-85,-532
1778094699.700068,1,-0.08821916880795677,-0.15535712119898262,-225,-223
1778094699.741339,1,-0.037173194935375076,-0.11562498335937732,-95,-166
1778094699.785047,1,-0.08624999082708373,-0.19444441093474968,-220,-279
1778094699.826259,1,-0.030405398301508013,-0.19047615532880455,-77,-274
1778094699.867925,1,0.018434348524958954,-0.449999878750032,47,-647
1778094699.906759,1,0.09740991220654771,-0.2708332673611325,249,-389
1778094699.95076,1,0.2830985888946027,-0.41666651388895604,724,-599
1778094699.9872131,1,0.3274044754996477,-0.5892852015311141,838,-848
1778094700.0290968,1,0.37703527275086124,-0.23809517233562089,965,-342
1778094700.0691898,1,0.38482220701799874,-0.20833328472223495,985,-299
1778094700.156737,1,0.43363146830218424,-0.20833328472223495,1110,-299
1778094700.19346,1,0.48797759412011943,-0.18750004687489452,1249,-270
1778094700.23718,1,0.49159095052317325,0.18749982812510546,1258,269
