timestamp,face_detected,avg_norm_x,avg_norm_y,screen_x,screen_y,current_text,text_length
1778096280.492438,1,0.189035192574726,-1.1306814668131104,483,-1628,None,0
1778096280.679724,1,0.15463789861344845,-0.16249996708333939,395,-233,None,0
1778096280.7590442,1,0.3423292892718143,-0.0426136314243291,876,-61,None,0
1778096280.799037,1,0.3578457893744993,-0.055555551697531104,916,-79,None,0
1778096280.880752,1,0.3814374853513962,-0.09545453518595151,976,-137,None,0
1778096280.9215739,1,0.3724662125447977,-0.034090904097796776,953,-49,None,0
1778096280.962443,1,0.4090460481396079,-0.11249998354166879,1047,-161,None,0
1778096281.0032158,1,0.4153238691283996,-0.1709401387975793,1063,-246,None,0
1778096281.043301,1,0.3964206484152861,-0.162698379031247,1014,-234,None,0
1778096281.085214,1,0.3611372149268556,-0.20312494921875807,924,-292,None,0
1778096281.125684,1,0.383664951300696,-0.03333331694444697,982,-47,None,0
1778096281.169919,1,0.4173519690819232,-0.0704364841663555,1068,-101,None,0
1778096281.2089758,1,0.4091302795499301,-0.2708332552083491,1047,-389,None,0
1778096281.2509592,1,0.4171794823156477,-0.1771977508906022,1067,-255,None,0
1778096281.289694,1,0.42574148321130845,-0.1359889687386867,1089,-195,None,0
1778096281.3328168,1,0.443856680129178,-0.42499987125002936,1136,-611,None,0
1778096281.372071,1,0.42593892090351404,-0.5965907057077003,1090,-859,None,0
1778096281.412974,1,0.45752251659083676,-0.4729165368403066,1171,-680,None,0
1778096281.5385,1,0.507762549790163,-1.416665828704137,1299,-2039,None,0
1778096281.5758631,1,0.4593918859325422,-1.6193172419942834,1176,-2331,None,0
1778096281.617787,1,0.4622824818899436,-1.6527768649696017,1183,-2379,None,0
1778096281.6998138,1,0.4311952745007014,-1.3928563635208095,1103,-2005,None,0
1778096281.740327,1,0.43432970468689847,-2.99999679166991,1111,-4319,None,0
1778096281.783243,1,0.42412172691951755,-0.7083330625000961,1085,-1019,None,0
1778096281.823719,1,0.37446078062786436,-0.8392854039116724,958,-1208,None,0
1778096281.863764,1,0.41815564321459164,-1.4749992175004,1070,-2123,None,0
1778096281.90518,1,0.38541666252367435,-0.6624998393750391,986,-953,None,0
1778096281.9452958,1,0.38005050098443405,-0.5437498803125267,972,-782,None,0
1778096282.030187,1,0.4608483252931247,-1.0416662569446122,1179,-1499,None,0
1778096282.0699599,1,0.403571423822606,-1.1666662777779073,1033,-1679,None,0
1778096282.110859,1,0.4042366898447697,-0.624999843750039,1034,-899,None,0
1778096282.150809,1,0.39293451623409903,-1.0520829800348406,1005,-1514,None,0
1778096282.193554,1,0.40032679258454484,-1.9124989987505094,1024,-2753,None,0
1778096282.2344499,1,0.40469207690601516,-4874999.791666701,1036,-7019999700,None,0
1778096282.275371,1,0.3742424200367309,-4249999.625000187,958,-6119999460,None,0
1778096282.316118,1,0.4140151466752756,0.6458330659723199,1059,929,None,0
